PSRJ;RAJ;Gl;Gb;DECJD;P0;P1;F0;F1;F2;F3;PEPOCH;DM;W50;W10;TAU_SC;S400;S1400;S2000;DIST_DM;NGLT;AGE;BSURF;AGE_I;BSURF_I;B_LC;
;;(hms);(deg);(deg);(deg);(s);;(Hz);(s^-2);(s^-3);(s^-4);(MJD);(cm^-3pc);(ms);(ms);(s);(mJy);(mJy);(mJy);(kpc);;(Yr);(G);(Yr);(G);(G);
61;J1302-6350;13:02:47.6;304.184;-0.992;-63.83573016;0.047763;2.28e-15;20.936924;-9.989e-13;-2.110e-24;*;50357.00;146.73;4.900;30.100;*;*;4.50;*;*;1;3.32e+05;3.34e+11;3.32e+05;3.34e+11;2.87e+04;
62;J1320-5359;13:20:53.9;307.305;8.637;-53.98472222;0.279738;9.25e-15;3.574778;-1.182e-13;*;*;57600.00;97.31;7.900;15.000;0.00;18.00;2.10;*;*;2;4.79e+05;1.63e+12;*;*;6.97e+02;
63;J1328-4357;13:28:06.4;309.874;18.415;-43.96225556;0.532703;3.04e-15;1.877219;-1.071e-14;*;*;59400.00;41.29;11.000;18.000;*;18.00;4.40;*;*;1;2.78e+06;1.29e+12;*;*;7.98e+01;
64;J1341-6220;13:41:42.6;308.730;-0.035;-62.33908333;0.193340;2.53e-13;5.172242;-6.771e-12;-1.000e-23;*;50859.00;719.65;8.700;28.000;0.02;*;2.70;*;*;36;1.21e+04;7.08e+12;*;*;9.18e+03;
65;J1357-6429;13:57:02.4;309.923;-2.514;-64.49172222;0.166308;3.61e-13;6.012939;-1.305e-11;1.158e-21;*;59400.00;127.41;16.000;31.000;*;*;0.52;*;*;5;7.30e+03;7.84e+12;*;*;1.60e+04;
66;J1406-6121;14:06:50.0;311.841;0.203;-61.35775000;0.213075;5.47e-14;4.693191;-1.205e-12;*;*;51111.00;537.29;13.000;*;0.05;*;0.44;*;*;1;6.17e+04;3.45e+12;*;*;3.35e+03;
67;J1410-6132;14:10:23.5;312.195;-0.092;-61.53559722;0.050052;3.20e-14;19.979243;-1.277e-11;*;*;54357.30;961.00;17.000;*;*;*;1.90;*;*;1;2.48e+04;1.28e+12;*;*;9.58e+04;
68;J1412-6145;14:12:07.6;312.324;-0.366;-61.75791111;0.315258;9.90e-14;3.172001;-9.964e-13;6.400e-24;*;55363.00;512.48;12.000;32.000;0.02;*;0.69;*;*;1;5.04e+04;5.65e+12;*;*;1.69e+03;
69;J1413-6141;14:13:09.8;312.462;-0.337;-61.68694444;0.285625;3.33e-13;3.501099;-4.087e-12;*;*;51500.00;667.60;13.000;57.000;0.04;*;0.82;*;*;14;1.36e+04;9.88e+12;*;*;3.97e+03;
70;J1413-6205;14:13:29.9;312.373;-0.736;-62.09388889;0.109741;2.77e-14;9.112390;-2.298e-12;*;*;54800.00;*;*;*;*;*;*;*;*;1;6.28e+04;1.76e+12;*;*;1.25e+04;
71;J1420-6048;14:20:08.2;313.541;0.227;-60.80456389;0.068180;8.32e-14;14.667084;-1.789e-11;*;*;51600.00;360.15;8.500;15.000;*;*;1.19;*;*;8;1.30e+04;2.41e+12;*;*;7.13e+04;
72;J1422-6138;14:22:28.2;313.521;-0.655;-61.64120000;0.340968;9.68e-14;2.932828;-8.329e-13;-1.500e-23;*;55214.00;*;*;*;*;*;0.00;*;*;2;5.58e+04;5.81e+12;*;*;1.38e+03;
73;J1452-6036;14:52:51.8;317.296;-1.169;-60.60872094;0.154992;1.45e-15;6.451934;-6.045e-14;*;*;59400.00;349.52;1.800;16.000;*;*;1.90;1.36;*;3;1.69e+06;4.80e+11;*;*;1.21e+03;
74;J1453-6413;14:53:32.6;315.733;-4.427;-64.22113056;0.179487;2.74e-15;5.571421;-8.519e-14;2.200e-25;*;58082.00;71.19;3.200;7.900;*;230.00;18.00;*;*;4;1.04e+06;7.10e+11;1.04e+06;7.10e+11;1.15e+03;
75;J1509+5531;15:09:25.6;91.325;52.287;55.52566500;0.739682;5.00e-15;1.351932;-9.135e-15;5.160e-26;*;49904.00;19.62;10.900;26.300;0.00;114.00;8.00;*;*;1;2.34e+06;1.95e+12;2.36e+06;1.94e+12;4.51e+01;
76;J1522-5735;15:22:05.3;322.052;-0.415;-57.58333333;0.102136;3.12e-14;9.790869;-2.995e-12;-2.600e-23;*;55250.00;*;*;*;*;*;0.00;*;*;1;5.18e+04;1.81e+12;*;*;1.59e+04;
77;J1524-5625;15:24:49.8;323.000;0.351;-56.42316667;0.078244;3.90e-14;12.780534;-6.366e-12;*;*;59400.00;152.05;3.600;17.000;*;*;1.28;*;*;1;3.18e+04;1.77e+12;*;*;3.46e+04;
78;J1531-5610;15:31:27.8;323.897;0.033;-56.18206694;0.084211;1.38e-14;11.874942;-1.941e-12;1.370e-23;*;59400.00;110.71;1.700;8.300;*;*;0.87;*;*;1;9.70e+04;1.09e+12;*;*;1.71e+04;
79;J1532+2745;15:32:10.3;43.481;54.495;27.76378417;1.124836;7.80e-16;0.889019;-6.161e-16;*;*;49666.00;14.69;30.200;55.500;0.00;13.00;0.80;*;*;1;2.29e+07;9.48e+11;2.29e+07;9.47e+11;6.24e+00;
80;J1539-5626;15:39:14.0;324.621;-0.806;-56.44063889;0.243395;4.85e-15;4.108545;-8.183e-14;*;*;55408.00;175.97;8.800;19.000;*;*;5.00;*;*;1;7.95e+05;1.10e+12;*;*;7.15e+02;
81;J1602-5100;16:02:18.7;330.688;1.285;-51.00169444;0.864297;6.94e-14;1.157010;-9.293e-14;6.000e-24;*;59400.00;170.81;4.200;26.000;0.00;45.00;8.23;*;*;1;1.97e+05;7.84e+12;*;*;1.14e+02;
82;J1614-5048;16:14:11.2;332.206;0.172;-50.80097222;0.231694;4.95e-13;4.316041;-9.220e-12;-1.600e-21;*;50853.00;582.40;8.400;37.000;0.04;*;4.10;*;*;4;7.42e+03;1.08e+13;*;*;8.17e+03;
83;J1617-5055;16:17:29.3;332.499;-0.275;-50.92033333;0.069357;1.35e-13;14.418187;-2.809e-11;*;*;50829.70;467.00;8.600;11.000;*;*;0.27;*;*;6;8.13e+03;3.10e+12;*;*;8.70e+04;
84;J1636-2614;16:36:11.5;353.120;14.036;-26.24638889;0.510454;4.06e-15;1.959041;-1.557e-14;*;*;57018.00;92.72;7.000;13.000;*;*;0.19;*;*;2;1.99e+06;1.46e+12;*;*;1.03e+02;
85;J1644-4559;16:44:49.2;339.193;-0.195;-45.98603056;0.455078;2.01e-14;2.197425;-9.700e-14;4.330e-24;*;57600.00;478.66;8.000;13.320;0.01;375.00;300.00;*;*;4;3.59e+05;3.06e+12;*;*;3.04e+02;
86;J1645-0317;16:45:02.0;14.114;26.062;-3.29939417;0.387692;1.78e-15;2.579369;-1.185e-14;*;*;59400.00;35.76;3.800;7.900;0.00;393.00;25.76;*;*;7;3.45e+06;8.41e+11;3.45e+06;8.40e+11;1.35e+02;
87;J1646-4346;16:46:51.3;341.105;0.968;-43.77722222;0.231603;1.13e-13;4.317727;-2.102e-12;*;*;48657.80;490.40;10.900;70.000;0.02;*;1.25;*;*;2;3.25e+04;5.17e+12;*;*;3.90e+03;
88;J1650-4502;16:50:32.3;340.559;-0.351;-45.04369444;0.380870;1.61e-14;2.625569;-1.107e-13;*;*;51118.00;320.20;7.400;19.000;*;*;0.61;*;*;1;3.76e+05;2.50e+12;*;*;4.25e+02;
89;J1702-4128;17:02:52.5;344.744;0.123;-41.48005556;0.182136;5.23e-14;5.490409;-1.578e-12;3.100e-24;*;51530.00;365.75;12.000;36.000;0.03;*;1.17;*;*;1;5.51e+04;3.12e+12;*;*;4.85e+03;
90;J1702-4310;17:02:26.9;343.352;-0.852;-43.17777778;0.240524;2.24e-13;4.157592;-3.868e-12;4.500e-23;*;51597.00;377.60;11.500;23.000;*;*;0.92;*;*;2;1.70e+04;7.42e+12;*;*;5.00e+03;
91;J1703-4851;17:03:54.5;338.986;-4.515;-48.86695556;1.396405;5.07e-15;0.716125;-2.602e-15;*;*;57600.00;149.65;11.000;55.000;0.00;22.00;1.40;*;*;1;4.36e+06;2.69e+12;*;*;9.27e+00;
92;J1705-1906;17:05:36.0;3.189;13.026;-19.11073499;0.298991;4.14e-15;3.344580;-4.629e-14;3.340e-26;*;59400.00;22.91;8.200;14.000;*;29.00;5.66;*;*;4;1.14e+06;1.13e+12;*;*;3.95e+02;
93;J1705-3423;17:05:42.3;350.721;3.975;-34.39530556;0.255427;1.08e-15;3.915016;-1.649e-14;0.000e+00;*;57600.00;146.15;12.000;21.000;0.00;31.00;5.30;*;*;3;3.76e+06;5.30e+11;*;*;2.98e+02;
94;J1705-3950;17:05:29.8;346.341;0.718;-39.84972222;0.318979;6.08e-14;3.134999;-5.973e-13;*;*;59400.00;207.25;8.100;34.000;0.00;*;1.60;*;*;1;8.32e+04;4.46e+12;*;*;1.29e+03;
95;J1706-4434;17:06:23.1;342.672;-2.264;-44.57500000;0.429922;2.58e-15;2.326001;-1.395e-14;*;*;57416.00;467.00;11.800;21.600;*;*;0.19;*;*;1;2.64e+06;1.07e+12;*;*;1.26e+02;
96;J1708-4008;17:08:46.8;346.481;0.036;-40.14790000;11.006262;1.96e-11;0.090857;-1.618e-13;-1.000e-22;*;55567.00;*;*;*;*;*;*;*;*;3;8.90e+03;4.70e+14;*;*;3.30e+00;
97;J1709-4429;17:09:42.7;343.098;-2.686;-44.48562222;0.102533;9.31e-14;9.752936;-8.852e-12;1.731e-22;*;59400.00;75.58;6.000;13.000;*;25.00;12.10;*;*;7;1.75e+04;3.13e+12;1.75e+04;3.13e+12;2.72e+04;
98;J1718-3718;17:18:09.8;349.849;0.216;-37.31430556;3.378574;1.61e-12;0.295983;-1.414e-13;-9.860e-24;*;55250.00;371.10;152.000;*;*;*;0.40;*;*;1;3.32e+04;7.47e+13;*;*;1.82e+01;
99;J1718-3825;17:18:13.5;348.951;-0.432;-38.42168333;0.074675;1.32e-14;13.391417;-2.363e-12;2.069e-23;*;55374.00;247.46;1.800;12.000;*;*;1.70;*;*;3;8.98e+04;1.00e+12;*;*;2.26e+04;
100;J1720-1633;17:20:25.2;7.374;11.537;-16.55936755;1.565606;5.80e-15;0.638730;-2.365e-15;7.300e-27;*;59400.00;45.06;12.000;46.000;*;13.00;1.10;*;*;1;4.28e+06;3.05e+12;*;*;7.45e+00;
101;J1721-3532;17:21:32.7;351.687;0.670;-35.54711412;0.280424;2.52e-14;3.566030;-3.203e-13;6.900e-25;*;51374.00;496.82;29.800;69.000;0.11;*;16.80;*;*;1;1.76e+05;2.69e+12;*;*;1.14e+03;
102;J1722-3632;17:22:09.7;350.934;-0.001;-36.54860112;0.399187;4.47e-15;2.505095;-2.803e-14;*;*;59400.00;415.79;24.000;39.000;0.01;*;2.90;*;*;1;1.42e+06;1.35e+12;*;*;1.99e+02;
103;J1730-3350;17:30:32.5;354.133;0.090;-33.84428622;0.139506;8.41e-14;7.168170;-4.321e-12;1.321e-22;*;56415.00;261.29;8.200;31.000;0.02;9.20;4.30;*;*;5;2.63e+04;3.47e+12;*;*;1.20e+04;
104;J1731-4744;17:31:42.1;342.565;-7.669;-47.74340556;0.829946;1.64e-13;1.204898;-2.376e-13;5.600e-24;*;59400.00;123.06;18.000;24.000;0.00;190.00;27.00;*;*;9;8.04e+04;1.18e+13;8.04e+04;1.18e+13;1.93e+02;
105;J1734-3333;17:34:26.9;354.819;-0.433;-33.55555556;1.169341;2.28e-12;0.855183;-1.667e-12;2.800e-24;*;53145.00;578.00;230.600;*;*;*;0.71;*;*;1;8.13e+03;5.22e+13;*;*;3.06e+02;
