PSRJ;Gl;P0;P1;F3;DM;S1400;DIST_DM;NGLT;AGE;BSURF;AGE_I;BSURF_I;B_LC;
;;(度);(s);;(s^-4);(cm^-3pc);(mJy);(kpc);;(Yr);(G);(Yr);(G);(G);
208;J2032+4127;80.224;0.143246;1.13e-14;*;114.67;*;*;1;2.01e+05;1.29e+12;2.01e+05;1.29e+12;4.11e+03;
209;J2116+1414;64.464;0.440153;2.89e-16;*;56.20;0.80;*;1;2.41e+07;3.61e+11;*;*;3.97e+01;
210;J2202+5040;97.650;0.745379;4.44e-15;*;76.10;*;*;2;2.66e+06;1.84e+12;*;*;4.17e+01;
211;J2219+4754;98.385;0.538469;2.77e-15;*;43.50;3.00;*;1;3.09e+06;1.23e+12;*;*;7.41e+01;
212;J2225+6535;108.638;0.682542;9.66e-15;*;36.44;2.00;*;5;1.12e+06;2.60e+12;1.13e+06;2.59e+12;7.66e+01;
213;J2229+6114;106.647;0.051648;7.74e-14;*;205.10;0.25;*;7;1.06e+04;2.02e+12;*;*;1.38e+05;
214;J2257+5909;108.831;0.368246;5.75e-15;*;151.08;9.20;*;1;1.01e+06;1.47e+12;1.01e+06;1.47e+12;2.77e+02;
215;J2301+5852;109.087;6.979071;4.71e-13;*;*;*;*;4;2.35e+05;5.80e+13;2.35e+05;5.80e+13;1.60e+00;
216;J2325+6316;113.418;1.436310;2.83e-15;*;197.37;2.10;*;1;8.05e+06;2.04e+12;*;*;6.45e+00;
217;J2337+6151;114.284;0.495370;1.93e-13;-3.700e-31;58.41;1.40;*;1;4.06e+04;9.91e+12;4.06e+04;9.91e+12;7.64e+02;
218;J2346-0609;83.798;1.181463;1.36e-15;*;22.61;2.00;*;1;1.37e+07;1.28e+12;1.39e+07;1.28e+12;7.30e+00;
219;J2351+6500;116.676;1.164883;2.80e-14;*;154.29;*;*;1;6.59e+05;5.78e+12;*;*;3.43e+01;
